Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	b14bh	Medium	[ProfileManager] OnIdentitySignIn {"Message":"Identity SignIn, currently active for type.","IdentityMetadata_Prefix":"","IdentityMetadata_IdentityErrorState":"Valid","IdentityMetadata_IdentityProviderType":"ADAL","IdentityMetadata_IsPersisted":true,"IdentityMetadata_IsSignedOut":false,"IdentityMetadata_UniqueId":"858F31AD-EB89-405C-9A8C-220B8ABDA61C","IdentityMetadata_LibraryType":"WAM","SignInType":"Implicit","Profile":"858F31AD-EB89-405C-9A8C-220B8ABDA61C"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	a2oud	Medium	[OfficeProfile] OnIdentitySignIn {"Message":"Profile sign in","Profile":"858F31AD-EB89-405C-9A8C-220B8ABDA61C","SignInType":"Implicit"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	cle9h	Medium	[ProfileManager] HandleDeviceAccount {"Message":"Ending active profile.","Profile":"858F31AD-EB89-405C-9A8C-220B8ABDA61C"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.DoBackgroundTasks","Flags":28147523457712385,"InternalSequenceNumber":38,"Time":"2021-07-27T22:09:32.227Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.4","Activity.Duration":423325,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	a0ka3	Medium	[IdentityManager] OnBackgroundTasksCompleted {"Message":"Completed Auth liblet background tasks."}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wuj	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - IgnoreUnrestrictedMetered specified - power cost check unnecessary"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
07/27/2021 22:09:32.243	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wuj	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - IgnoreUnrestrictedMetered specified - power cost check unnecessary"}	
07/27/2021 22:09:32.243	WINWORD (0x2AB8)	0x2A38	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.UX.Theming.ReadRoamedTheme","Flags":28147506277843201,"InternalSequenceNumber":39,"Time":"2021-07-27T22:09:32.243Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.1.9","Activity.Duration":1374,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.Initialized":true,"Data.IsAnonymous":false,"Data.IdentityType":4,"Data.ThemeSettingRevision":2,"Data.Theme":0}	
07/27/2021 22:09:32.243	WINWORD (0x2AB8)	0x2A38	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Diagnostics.FeatureGates.FeatureAvailability","Flags":28147506277843201,"InternalSequenceNumber":40,"Time":"2021-07-27T22:09:32.243Z","Data.IsDiagnosticsSystemEnabled":false}	
07/27/2021 22:09:32.258	WINWORD (0x2AB8)	0x2A38	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Licensing.Nul.Validation.QuickValidation","Flags":28147506277843201,"InternalSequenceNumber":41,"Time":"2021-07-27T22:09:32.258Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.1.10","Activity.Duration":61,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.Mode":2,"Data.AllAcids":"149dbce7-a48e-44db-8364-a53386cd4580,"}	
07/27/2021 22:09:32.258	WINWORD (0x2AB8)	0x2A38	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Licensing.NULValidation","Flags":28147506277843201,"InternalSequenceNumber":42,"Time":"2021-07-27T22:09:32.258Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.1.11","Activity.Duration":366,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.Quick":true}	
07/27/2021 22:09:32.258	WINWORD (0x2AB8)	0x2A38	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Licensing.Nul.Model.GetLicenseCategory","Flags":28147506277843201,"InternalSequenceNumber":43,"Time":"2021-07-27T22:09:32.258Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.1.12","Activity.Duration":24,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.Category":10}	
07/27/2021 22:09:32.258	WINWORD (0x2AB8)	0x2A38	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Licensing.Nul.Model.GetAllLicenseCategories","Flags":28147506277843201,"InternalSequenceNumber":44,"Time":"2021-07-27T22:09:32.258Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.1.13","Activity.Duration":9,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
07/27/2021 22:09:32.258	WINWORD (0x2AB8)	0x2A38	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Licensing.Properties.UpdateLicenseCategories","Flags":28147506277843201,"InternalSequenceNumber":45,"Time":"2021-07-27T22:09:32.258Z","Data.Category":10,"Data.Categories":"10,","Data.ValidAcids":"149dbce7-a48e-44db-8364-a53386cd4580,"}	
07/27/2021 22:09:32.274	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	a9ief	Monitorable	[ConfigService] GetService {"Message":"ServiceStatus failed","RequestStatus":64}	
07/27/2021 22:09:32.274	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.GetBlockingService","Flags":28147523457712385,"InternalSequenceNumber":46,"Time":"2021-07-27T22:09:32.274Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.6.1","Activity.Duration":29175,"Activity.Count":1,"Activity.AggMode":2,"Activity.Success":false,"Activity.Result.Code":-2147467259,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":593892291,"Activity.AggInterval":1,"Data.ServiceMapPopulatedStatus":0,"Data.ServiceStatus":64}	
07/27/2021 22:09:32.274	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	ibv02	Monitorable	[ConfigService] GetConfigToken {"Message":"GetConfigToken failed to populate config service."}	
07/27/2021 22:09:32.290	WINWORD (0x2AB8)	0x2A38	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Text.GDIAssistant.RegisterCloudFontCallback","Flags":30962256044949761,"InternalSequenceNumber":47,"Time":"2021-07-27T22:09:32.290Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.1.14","Activity.Duration":19,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
07/27/2021 22:09:32.305	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	a9ief	Monitorable	[ConfigService] GetService {"Message":"ServiceStatus failed","RequestStatus":64}	
07/27/2021 22:09:32.305	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.GetBlockingService","Flags":28147523457712385,"InternalSequenceNumber":48,"Time":"2021-07-27T22:09:32.305Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.6.1","Activity.Duration":32053,"Activity.Count":1,"Activity.AggMode":2,"Activity.Success":false,"Activity.Result.Code":-2147467259,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":593892291,"Activity.AggInterval":1,"Data.ServiceMapPopulatedStatus":0,"Data.ServiceStatus":64}	
